image_name,seed,pop_size,rectangle_count,execution_time_sec,final_fitness,generations_used
Berberis_thunbergii.npy,25925980,15,91,2.51,12551.0,14
Berberis_vulgaris.npy,25925980,15,203,8.61,45323.0,26
Betula_papyrifera.npy,25925980,15,1043,172.24,633326.0,75
Betula_pendula.npy,25925980,15,345,21.9,86704.0,29
Clematis_vitalba.npy,25925980,15,1005,101.28,481478.0,42
Fallopia_aubertii.npy,25925980,15,343,20.69,117957.0,21
Frangula_alnus.npy,25925980,15,426,26.37,172838.0,24
Hedera_helixSTERILE.npy,25925980,15,1452,143.76,646838.0,44
Koelreuteria_paniculata.npy,25925980,15,752,63.13,380280.0,49
Laburnum_anagyroides.npy,25925980,15,262,11.52,87656.0,19
Physocarpus_opulifolius.npy,25925980,15,636,55.27,330853.0,40
Quercus_cerris.npy,25925980,15,1171,120.3,713439.0,37
Quercus_palustris.npy,25925980,15,1803,131.27,310212.0,33
Robinia_viscosa.npy,25925980,15,335,24.17,135949.0,21
Sorbus_intermedia.npy,25925980,15,966,110.74,651306.0,57
Syringa_chinensis.npy,25925980,15,350,24.92,114776.0,20
Tilia_cordata.npy,25925980,15,446,39.97,209135.0,33
Tilia_tomentosa.npy,25925980,15,1038,144.71,793778.0,45
Viburnum_rhytidophyllum.npy,25925980,15,584,92.18,612567.0,23
Zelkova_serrata.npy,25925980,15,916,105.1,756506.0,28
