image_name,seed,pop_size,rectangle_count,execution_time_sec,final_fitness,generations_used
Bone-10_binary.npy,6344416,10,381,2.31,27570.0,9
Comma-10_binary.npy,6344416,10,166,1.46,67109.0,9
Glas-10_binary.npy,6344416,10,185,1.43,49845.0,9
HCircle-10_binary.npy,6344416,10,127,0.93,47774.0,9
Heart-10_binary.npy,6344416,10,412,2.76,99829.0,9
Misk-10_binary.npy,6344416,10,368,2.55,88731.0,9
apple-10_binary.npy,6344416,10,131,0.74,26707.0,9
bat-10_binary.npy,6344416,10,389,4.93,50359.0,9
beetle-10_binary.npy,6344416,10,349,5.35,15180.0,9
bell-10_binary.npy,6344416,10,211,1.75,77565.0,9
